Latitude;Longitude;Time;Date;C True Heading;Sample Number;Fix Type;Fix Quality;X Speed(m/s);Y Speed(m/s);Z Speed(m/s);Track Time;X Distance(m);Y Distance(m);Altitude(m);Depth(m);Temperature(c);Sound Speed(m/s);Salinity(ppt);BtXspd(m/s);BtYspd(m/s);BtZspd(m/s);BtQuality;BtRnge1(m);BtRnge2(m);BtRnge3(m);BtRnge4(m);BtXWaterSpd(m/s);BtYWaterSpd(m/s);BtZWaterSpd(m/s);BtWaterQuality;Xvelocity(m/s);Yvelocity(m/s)
25.9127531666667;-80.1378723333333;11:49:22.08;9/5/2020;75.4280049584306;945;0;0;0;0;999.999;944;0;0;0;9999.99;35.5;1521.8;0;999.999;999.999;999.999;9;999.99;999.99;999.99;999.99;-0.711;3.217;-4.599;9;1.111;-3.567
25.9127528333333;-80.1378721666667;11:49:23.08;9/5/2020;75.7144771837587;946;0;0;0;0;999.999;945;0;0;0;9999.99;35.5;1521.8;0;999.999;999.999;999.999;9;999.99;999.99;999.99;999.99;-1.691;3.579;-3.394;9;-4.126;5.232
25.9127523333333;-80.1378718333334;11:49:24.08;9/5/2020;75.6190001911724;947;0;0;0;0;999.999;946;0;0;0;9999.99;35.5;1521.8;0;999.999;999.999;999.999;9;999.99;999.99;999.99;999.99;0.413;5.228;-4.505;10;5.475;-3.040
25.9127518333333;-80.1378715;11:49:25.08;9/5/2020;75.5235093303793;948;0;0;0;0;999.999;947;0;0;0;9999.99;35.5;1521.8;0;999.999;999.999;999.999;9;999.99;999.99;999.99;999.99;0.516;3.217;-4.477;9;-0.061;2.865
